batch_size,epochs,model__activation,model__dropout_rate,model__optimizer,score
8,1500,elu,0.15,adamax,-0.1911261642359104
32,1500,elu,0.2,rmsprop,-0.19213532841855258
8,1500,elu,0.1,adamax,-0.19233104671237108
32,1500,elu,0.1,adam,-0.19287015597081703
32,1500,elu,0.25,rmsprop,-0.19394458549902133
2,1500,selu,0.15,sgd,-0.1945299940704629
4,1500,selu,0.1,sgd,-0.19456460732126246
8,1500,elu,0.25,adamax,-0.19479491378527125
32,1500,elu,0.05,rmsprop,-0.19499120894430905
32,1500,selu,0.05,adamax,-0.19501125098296673
2,1500,selu,0.1,sgd,-0.19511676585962645
4,1500,selu,0.2,sgd,-0.19514267977603506
2,1500,selu,0.2,sgd,-0.19520886087346484
32,1500,elu,0.1,rmsprop,-0.19545126123013806
32,1500,elu,0.15,rmsprop,-0.19548539510339302
16,1500,elu,0.1,adamax,-0.1959457474478214
16,1500,elu,0.15,adamax,-0.19595286120580266
16,1500,selu,0.2,sgd,-0.19603180407333015
16,1500,elu,0.05,adamax,-0.19608338001243603
2,1500,elu,0.05,sgd,-0.1962612221237045
2,1500,elu,0.1,sgd,-0.19635113575075303
8,1500,selu,0.05,sgd,-0.19649160982648878
8,1500,elu,0.05,adamax,-0.19663228804695684
32,1500,selu,0.15,adamax,-0.1967979673924083
32,1500,elu,0.05,adamax,-0.19692919626293193
4,1500,selu,0.15,sgd,-0.19726447258648322
16,1500,elu,0.25,adamax,-0.19728358880091432
8,1500,selu,0.1,sgd,-0.19730743678043683
8,1500,selu,0.15,sgd,-0.19745354454552605
8,1500,selu,0.25,sgd,-0.19777706339661721
32,1500,elu,0.15,adamax,-0.19789482939856612
4,1500,selu,0.25,sgd,-0.19804844221007137
32,1500,selu,0.25,adamax,-0.1980777359181602
32,1500,elu,0.1,adamax,-0.19842752736206387
4,1500,selu,0.05,sgd,-0.19844378013107133
4,1500,relu,0.1,sgd,-0.19850761531603303
4,1500,relu,0.15,sgd,-0.19882535280920027
32,1500,elu,0.05,adam,-0.19949514661083573
32,1500,selu,0.1,adamax,-0.19950272047062267
16,1500,selu,0.15,adamax,-0.1998012303005654
16,1500,softplus,0.05,adam,-0.19986067509924188
4,1500,elu,0.15,sgd,-0.19996670939161643
8,1500,elu,0.1,sgd,-0.20002059042423193
8,1500,selu,0.2,sgd,-0.20012734489927408
8,1500,elu,0.05,sgd,-0.2001986154285771
16,1500,selu,0.1,sgd,-0.20022967298479197
16,1500,elu,0.2,adamax,-0.20023493529709338
2,1500,selu,0.05,sgd,-0.2003509217841215
32,1500,elu,0.2,adamax,-0.20039472287044602
4,1500,elu,0.1,sgd,-0.2006909996685231
4,1500,elu,0.05,sgd,-0.20082208406616042
2,1500,selu,0.25,sgd,-0.2011678830652868
4,1500,relu,0.05,sgd,-0.20117724243681623
8,1500,elu,0.15,sgd,-0.20126843310292147
8,1500,selu,0.25,adamax,-0.20135634602427027
2,1500,elu,0.25,sgd,-0.20138539957344526
32,1500,elu,0.25,adamax,-0.20159089480993947
4,1500,elu,0.2,sgd,-0.20211353183578723
