-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2001 through 12/31/2022 
Location: Latitude  -2.9909   Longitude 104.7566 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 8.33 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
TS                    MERRA-2 Earth Skin Temperature (C) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
T2MDEW                MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET                MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
T2M_MAX               MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN               MERRA-2 Temperature at 2 Meters Minimum (C) 
T2M_RANGE             MERRA-2 Temperature at 2 Meters Range (C) 
ALLSKY_SFC_LW_DWN     CERES SYN1deg All Sky Surface Longwave Downward Irradiance (W/m^2) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
TS,2001,25.49,25.83,26.06,26.67,26.81,25.83,25.76,26.13,26.33,26.34,26.12,25.58,26.08
TS,2002,25.62,25.59,26.46,26.81,27.08,26.33,26.3,25.96,25.72,26.25,26.74,26.44,26.28
TS,2003,26.25,26.05,26.65,26.97,26.87,26.01,25.69,26.43,26.23,26.79,26.62,25.61,26.35
TS,2004,25.8,25.75,26.33,27.21,26.69,25.96,25.62,25.87,26.35,26.94,26.9,25.87,26.27
TS,2005,25.68,26.51,26.29,26.76,26.7,26.28,26.01,26.05,26.55,26.58,26.25,25.82,26.29
TS,2006,25.48,26.29,26.09,26.33,26.31,25.76,25.89,25.47,25.36,26.06,26.88,26.85,26.06
TS,2007,26.05,26.13,26.19,26.73,26.61,26.3,25.66,25.73,25.98,26.41,26.22,26.12,26.18
TS,2008,25.73,25.45,25.97,26.24,26.12,25.93,25.45,25.73,26.18,26.71,26.54,25.69,25.98
TS,2009,25.51,25.65,26.37,26.83,26.7,26.2,25.76,26.29,26.91,26.85,26.9,26.41,26.37
TS,2010,26.07,26.89,26.81,27.36,27.27,25.97,25.96,25.87,26.4,26.03,26.3,25.25,26.34
TS,2011,25.13,25.55,25.77,26.23,26.48,26.15,25.9,26.09,26.35,26.36,26.61,26.01,26.05
TS,2012,25.79,25.94,25.86,26.42,26.41,25.86,25.41,25.7,26.29,27.04,26.83,26.11,26.14
TS,2013,25.8,25.98,26.88,26.69,26.71,26.48,25.56,25.79,26.41,26.76,26.27,25.85,26.26
TS,2014,25.23,25.79,26.76,26.64,27.08,26.39,26.3,26.25,26.37,27.13,27.11,26.16,26.44
TS,2015,25.65,25.77,26.14,26.58,26.82,26.33,26.04,26.26,26.56,27.44,28.09,26.96,26.55
TS,2016,27.3,26.68,27.09,27.44,27.26,26.24,26.23,26.4,26.38,26.08,26.42,25.91,26.62
TS,2017,25.83,25.99,26.05,26.48,26.89,26.23,25.78,26.05,26.76,26.79,26.63,26.01,26.29
TS,2018,25.59,25.75,26.32,26.98,26.76,25.97,25.86,25.9,26.12,27.09,26.69,26.41,26.29
TS,2019,26.29,26.64,26.53,27.11,26.85,26.51,26.02,26.05,26.26,27.2,27.95,27.12,26.71
TS,2020,26.83,26.89,27.24,27.02,27.0,26.28,25.92,26.31,26.45,26.39,26.63,25.93,26.57
TS,2021,25.62,25.94,26.32,26.64,27.11,26.19,25.94,26.06,26.48,27.0,26.32,26.19,26.32
TS,2022,25.95,26.04,26.42,26.77,26.74,25.84,26.02,26.19,26.06,26.39,26.42,26.02,26.24
T2M,2001,25.46,25.76,26.12,26.58,26.76,25.84,25.63,25.96,26.15,26.24,26.09,25.58,26.01
T2M,2002,25.56,25.53,26.37,26.75,26.98,26.27,26.17,25.76,25.64,26.18,26.62,26.37,26.19
T2M,2003,26.15,25.95,26.56,26.87,26.8,25.93,25.57,26.23,26.08,26.58,26.52,25.58,26.23
T2M,2004,25.78,25.71,26.32,27.05,26.72,25.88,25.57,25.64,26.14,26.73,26.75,25.82,26.18
T2M,2005,25.63,26.43,26.31,26.71,26.63,26.3,25.9,25.93,26.37,26.44,26.16,25.84,26.22
T2M,2006,25.5,26.23,26.08,26.42,26.35,25.71,25.8,25.3,25.29,26.07,26.84,26.73,26.02
T2M,2007,26.01,25.99,26.16,26.72,26.56,26.29,25.64,25.58,25.82,26.23,26.22,26.03,26.1
T2M,2008,25.76,25.45,25.94,26.27,26.06,25.85,25.37,25.65,26.04,26.54,26.55,25.69,25.93
T2M,2009,25.48,25.7,26.4,26.78,26.67,26.19,25.7,26.11,26.72,26.66,26.76,26.25,26.29
T2M,2010,26.01,26.77,26.76,27.35,27.3,25.99,25.95,25.87,26.32,26.01,26.29,25.27,26.32
T2M,2011,25.13,25.56,25.89,26.29,26.51,26.15,25.8,25.9,26.16,26.26,26.53,25.98,26.01
T2M,2012,25.81,25.9,25.98,26.38,26.48,25.87,25.37,25.55,26.07,26.84,26.75,26.08,26.09
T2M,2013,25.8,25.96,26.84,26.79,26.79,26.64,25.59,25.76,26.26,26.7,26.24,25.87,26.27
T2M,2014,25.22,25.71,26.59,26.69,27.03,26.42,26.29,26.11,26.2,26.94,26.91,26.17,26.36
T2M,2015,25.62,25.68,26.15,26.62,26.76,26.25,25.94,26.08,26.41,27.27,27.82,26.82,26.45
T2M,2016,27.12,26.58,27.03,27.41,27.26,26.33,26.23,26.4,26.37,26.15,26.39,25.97,26.6
T2M,2017,25.89,25.98,26.12,26.57,26.82,26.21,25.74,25.91,26.54,26.83,26.64,26.08,26.28
T2M,2018,25.62,25.73,26.3,26.96,26.74,26.0,25.76,25.77,25.94,26.9,26.67,26.44,26.23
T2M,2019,26.27,26.57,26.62,27.09,26.9,26.45,25.9,25.84,26.07,26.95,27.72,26.89,26.61
T2M,2020,26.67,26.81,27.17,27.04,27.03,26.26,25.9,26.21,26.31,26.35,26.58,25.96,26.52
T2M,2021,25.6,25.9,26.26,26.67,27.09,26.23,25.87,26.0,26.37,26.94,26.38,26.23,26.3
T2M,2022,25.98,26.03,26.55,26.85,26.82,25.87,26.06,26.16,26.0,26.36,26.49,26.09,26.27
T2MDEW,2001,23.94,24.09,24.05,24.43,24.92,23.72,23.25,23.44,23.62,24.19,24.25,24.05,23.99
T2MDEW,2002,24.02,23.74,24.6,24.8,24.63,24.19,24.05,22.87,22.93,23.03,24.0,24.14,23.92
T2MDEW,2003,24.13,24.15,24.37,24.84,24.66,23.52,23.05,23.28,23.13,23.83,24.22,24.11,23.94
T2MDEW,2004,24.32,24.02,24.57,24.85,24.72,23.68,23.63,22.81,23.29,23.58,24.2,24.19,23.99
T2MDEW,2005,23.82,24.45,24.61,24.73,24.8,24.32,23.76,23.73,23.88,24.14,24.21,24.19,24.22
T2MDEW,2006,24.18,24.54,24.43,24.5,24.36,23.83,23.76,22.58,22.53,23.2,24.09,24.48,23.87
T2MDEW,2007,24.18,23.76,24.0,24.59,24.83,24.44,23.82,23.19,23.12,23.63,23.82,24.15,23.96
T2MDEW,2008,24.16,23.67,24.07,24.38,24.05,23.8,23.21,23.52,23.57,23.93,24.27,24.14,23.9
T2MDEW,2009,23.87,23.9,24.19,24.73,24.39,24.23,23.46,23.36,23.42,23.9,23.9,23.95,23.94
T2MDEW,2010,23.89,24.75,24.65,25.15,25.42,24.41,24.05,24.02,24.13,23.98,24.11,23.6,24.34
T2MDEW,2011,23.62,23.94,23.9,24.33,24.68,24.2,23.61,23.23,23.15,23.82,23.76,24.1,23.86
T2MDEW,2012,23.91,24.08,23.92,24.37,24.52,24.05,23.43,23.03,23.0,23.82,24.19,24.26,23.88
T2MDEW,2013,24.15,24.19,24.71,24.69,24.91,24.23,23.83,23.6,23.87,23.83,24.05,24.27,24.19
T2MDEW,2014,23.49,23.55,24.01,24.36,25.0,24.66,24.24,23.62,23.05,23.38,23.88,23.98,23.94
T2MDEW,2015,23.82,23.76,24.17,24.51,24.8,24.19,23.55,23.23,22.66,22.46,23.76,24.26,23.76
T2MDEW,2016,24.76,24.55,25.0,25.3,25.25,24.29,24.23,24.01,23.98,23.95,24.35,23.98,24.47
T2MDEW,2017,24.04,24.28,23.99,24.6,25.11,24.28,23.94,23.69,23.87,24.23,24.29,24.31,24.22
T2MDEW,2018,23.73,24.05,24.4,24.79,24.9,24.37,23.54,23.39,23.23,23.97,24.22,24.17,24.06
T2MDEW,2019,24.54,24.69,24.49,25.08,25.11,24.62,23.57,23.09,22.87,23.1,23.8,24.35,24.11
T2MDEW,2020,24.51,24.48,24.8,25.02,25.36,24.56,24.11,23.94,23.88,24.06,24.37,24.15,24.44
T2MDEW,2021,24.17,24.25,24.33,24.34,25.15,24.28,23.73,23.89,24.08,24.24,23.85,24.33,24.22
T2MDEW,2022,24.37,23.98,24.45,24.67,24.92,24.16,24.27,24.25,23.87,24.2,24.29,24.12,24.3
T2MWET,2001,24.69,24.92,25.08,25.51,25.84,24.78,24.44,24.69,24.89,25.21,25.17,24.81,25.01
T2MWET,2002,24.8,24.63,25.48,25.77,25.8,25.23,25.11,24.32,24.29,24.61,25.31,25.26,25.05
T2MWET,2003,25.14,25.05,25.47,25.85,25.73,24.73,24.3,24.76,24.61,25.21,25.37,24.84,25.08
T2MWET,2004,25.05,24.87,25.44,25.94,25.72,24.78,24.6,24.23,24.72,25.15,25.48,25.01,25.08
T2MWET,2005,24.73,25.44,25.46,25.72,25.72,25.31,24.83,24.83,25.12,25.29,25.19,25.01,25.22
T2MWET,2006,24.83,25.38,25.26,25.46,25.35,24.77,24.78,23.94,23.91,24.64,25.47,25.6,24.94
T2MWET,2007,25.09,24.87,25.08,25.65,25.7,25.37,24.73,24.39,24.47,24.94,25.02,25.09,25.03
T2MWET,2008,24.96,24.56,25.01,25.33,25.06,24.82,24.29,24.58,24.8,25.23,25.4,24.92,24.91
T2MWET,2009,24.68,24.8,25.3,25.75,25.53,25.22,24.58,24.73,25.07,25.28,25.33,25.1,25.12
T2MWET,2010,24.95,25.76,25.7,26.25,26.36,25.2,25.01,24.94,25.23,24.99,25.19,24.44,25.33
T2MWET,2011,24.37,24.75,24.89,25.31,25.6,25.18,24.7,24.56,24.65,25.05,25.15,25.04,24.94
T2MWET,2012,24.86,24.98,24.95,25.37,25.5,24.96,24.4,24.3,24.54,25.33,25.47,25.17,24.98
T2MWET,2013,24.98,25.08,25.78,25.74,25.85,25.43,24.71,24.68,25.07,25.26,25.15,25.07,25.23
T2MWET,2014,24.35,24.63,25.3,25.52,26.01,25.55,25.26,24.87,24.62,25.16,25.4,25.08,25.15
T2MWET,2015,24.72,24.73,25.16,25.56,25.78,25.22,24.74,24.65,24.54,24.87,25.79,25.55,25.11
T2MWET,2016,25.94,25.57,26.01,26.36,26.26,25.31,25.23,25.21,25.18,25.05,25.37,24.98,25.54
T2MWET,2017,24.96,25.13,25.05,25.58,25.96,25.25,24.84,24.8,25.21,25.53,25.47,25.19,25.25
T2MWET,2018,24.67,24.88,25.35,25.87,25.82,25.19,24.65,24.58,24.58,25.44,25.44,25.3,25.15
T2MWET,2019,25.4,25.63,25.55,26.08,26.01,25.54,24.74,24.47,24.47,25.03,25.76,25.62,25.36
T2MWET,2020,25.59,25.65,25.98,26.03,26.19,25.41,25.0,25.08,25.1,25.2,25.48,25.05,25.48
T2MWET,2021,24.89,25.08,25.3,25.51,26.12,25.26,24.8,24.94,25.23,25.58,25.12,25.27,25.26
T2MWET,2022,25.18,25.01,25.51,25.76,25.87,25.01,25.17,25.21,24.94,25.28,25.39,25.11,25.29
T2M_MAX,2001,30.11,30.58,31.08,31.4,31.24,30.41,30.63,31.73,31.46,31.32,31.08,30.23,31.73
T2M_MAX,2002,30.22,30.59,31.84,31.8,31.75,30.78,31.2,31.25,31.58,32.33,32.74,31.72,32.74
T2M_MAX,2003,31.26,31.23,31.33,31.84,31.17,31.13,31.53,32.27,33.02,33.35,31.51,30.29,33.35
T2M_MAX,2004,30.26,30.48,31.38,32.03,31.55,30.61,30.46,31.49,32.13,32.86,32.65,30.73,32.86
T2M_MAX,2005,31.18,31.01,30.81,31.29,31.39,30.87,31.24,31.31,31.73,32.07,31.01,30.52,32.07
T2M_MAX,2006,29.88,31.45,30.26,31.05,31.21,30.12,30.91,31.13,31.34,32.18,32.3,32.4,32.4
T2M_MAX,2007,30.33,31.31,31.24,31.44,30.67,30.58,30.34,30.9,31.48,32.15,32.35,30.61,32.35
T2M_MAX,2008,30.63,29.32,30.92,31.25,30.76,30.69,30.24,30.82,32.06,32.16,31.37,30.28,32.16
T2M_MAX,2009,30.77,29.82,32.08,31.07,31.29,30.85,30.89,31.53,32.4,32.8,32.78,31.87,32.8
T2M_MAX,2010,31.28,31.58,31.61,32.09,31.78,30.67,30.81,31.29,31.34,32.06,31.23,29.46,32.09
T2M_MAX,2011,29.4,31.08,30.35,30.85,30.87,30.81,30.5,31.07,32.08,31.81,32.41,31.24,32.41
T2M_MAX,2012,31.13,31.73,30.8,31.05,30.62,30.37,30.55,31.03,31.95,32.72,31.9,30.79,32.72
T2M_MAX,2013,30.6,31.31,31.68,31.44,31.5,31.22,30.29,30.81,31.56,31.98,31.48,31.33,31.98
T2M_MAX,2014,30.19,31.12,32.12,31.4,31.53,31.66,31.1,31.43,32.32,33.53,33.45,31.57,33.53
T2M_MAX,2015,30.28,31.1,31.38,31.94,31.34,30.91,31.13,31.82,33.27,34.33,35.73,33.23,35.73
