latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,field_15
-3.13477,105.41003,309.13,1.6,1.25,2023/03/08,323,Terra,MODIS,42,6.1NRT,293.37,10.13,D,
-2.97681,105.52071,312.99,1.03,1.01,2023/03/22,308,Terra,MODIS,60,6.1NRT,295.56,6.81,D,
-2.97548,105.51163,312.49,1.03,1.01,2023/03/22,308,Terra,MODIS,58,6.1NRT,295.06,6.23,D,
-2.76191,105.56316,314.89,1.03,1.01,2023/03/22,308,Terra,MODIS,48,6.1NRT,296.74,7.03,D,
-2.7606,105.55409,314.91,1.03,1.01,2023/03/22,308,Terra,MODIS,45,6.1NRT,297.03,6.89,D,
-3.15547,104.0691,342.29,1,1,2023/04/04,652,Aqua,MODIS,91,6.1NRT,296.67,38.78,D,
-2.36376,104.07669,314.28,1,1,2023/04/11,652,Aqua,MODIS,56,6.1NRT,297.52,5.3,D,
-1.94896,104.16892,308.43,1.27,1.12,2023/04/13,640,Aqua,MODIS,41,6.1NRT,287.35,7.68,D,
-3.10182,104.09129,320.72,1.38,1.16,2023/04/30,707,Aqua,MODIS,51,6.1NRT,289.77,23.97,D,
-1.9449,104.15755,318.45,1,1,2023/05/02,654,Aqua,MODIS,39,6.1NRT,299.51,9.44,D,
-3.13766,104.15721,346.72,1.35,1.15,2023/05/11,640,Aqua,MODIS,94,6.1NRT,295.94,74.61,D,
-3.13933,104.14522,359.85,1.35,1.15,2023/05/11,640,Aqua,MODIS,94,6.1NRT,295.49,122.5,D,
-3.12906,104.14376,339.91,1.35,1.15,2023/05/11,640,Aqua,MODIS,90,6.1NRT,294.65,55.48,D,
-3.13094,104.15074,363.02,1.35,1.15,2023/05/11,640,Aqua,MODIS,100,6.1NRT,296.21,134.43,D,
-3.13269,104.13876,336.09,1.35,1.15,2023/05/11,640,Aqua,MODIS,88,6.1NRT,295.04,45.17,D,
-2.98709,104.74521,310.88,2.66,1.57,2023/05/12,334,Terra,MODIS,42,6.1NRT,291.84,26.81,D,
-1.94587,104.16661,313.55,2.4,1.49,2023/05/13,625,Aqua,MODIS,68,6.1NRT,296.5,26.37,D,
-2.99758,104.80501,304.48,2.73,1.58,2023/05/24,334,Terra,MODIS,0,6.1NRT,282.19,17.85,D,
-3.07572,105.38947,309.72,1.45,1.19,2023/05/26,319,Terra,MODIS,32,6.1NRT,293.24,8.18,D,
-2.76404,105.55302,308.37,1,1,2023/05/28,302,Terra,MODIS,19,6.1NRT,287.46,4.92,D,
-3.07653,105.38942,313.38,1.1,1.05,2023/06/02,310,Terra,MODIS,54,6.1NRT,299.43,7.46,D,
-1.94598,104.16645,313.86,1.31,1.14,2023/06/04,707,Aqua,MODIS,48,6.1NRT,294.87,9.59,D,
-2.77239,105.54974,315.09,1.53,1.22,2023/06/11,705,Aqua,MODIS,29,6.1NRT,298.07,14.04,D,
-3.01581,105.44795,313.73,1.49,1.21,2023/06/11,705,Aqua,MODIS,55,6.1NRT,297.22,10.67,D,
-3.05927,105.30035,315.14,1.35,1.15,2023/06/22,637,Aqua,MODIS,25,6.1NRT,299.04,11.48,D,
-2.94441,105.47898,314.57,2.61,1.55,2023/06/23,718,Aqua,MODIS,22,6.1NRT,296.07,29.77,D,
-3.05487,105.31553,308.2,2.96,1.64,2023/06/29,334,Terra,MODIS,43,6.1NRT,289.96,24.75,D,
-3.05644,105.30865,308.44,2.96,1.64,2023/06/29,334,Terra,MODIS,39,6.1NRT,289.46,28.17,D,
-3.05509,105.31456,313.36,2.39,1.49,2023/06/30,716,Aqua,MODIS,61,6.1NRT,294.16,28.16,D,
-3.04808,105.33289,310.6,1.41,1.18,2023/07/01,317,Terra,MODIS,13,6.1NRT,292.9,8.17,D,
-2.17631,104.38872,314.1,1.13,1.06,2023/07/09,701,Aqua,MODIS,54,6.1NRT,293.77,9.37,D,
-3.07386,105.38702,312.07,1.55,1.23,2023/07/13,633,Aqua,MODIS,61,6.1NRT,296.73,13.97,D,
-3.09133,104.7141,316.23,1.07,1.03,2023/07/23,659,Aqua,MODIS,61,6.1NRT,297.46,7,D,
-3.11504,105.06094,315.48,1.06,1.03,2023/07/30,659,Aqua,MODIS,64,6.1NRT,294.98,7.76,D,
-3.1164,105.05154,316.16,1.06,1.03,2023/07/30,659,Aqua,MODIS,61,6.1NRT,296.65,8.34,D,
-3.03218,104.23257,316.17,1.01,1.01,2023/07/30,659,Aqua,MODIS,0,6.1NRT,292.35,8.99,D,
-3.06476,105.28965,310.06,1.93,1.36,2023/08/03,629,Aqua,MODIS,31,6.1NRT,289.46,15.33,D,
-2.93055,105.50507,311.5,2.87,1.62,2023/08/04,330,Terra,MODIS,37,6.1NRT,292.32,26.37,D,
-3.05228,105.30537,311.17,2.78,1.59,2023/08/04,330,Terra,MODIS,61,6.1NRT,291.8,27.79,D,
-1.87087,104.18487,317.13,1.48,1.2,2023/08/04,712,Aqua,MODIS,47,6.1NRT,298.95,13.54,D,
-3.06294,105.29181,314.07,3.06,1.66,2023/08/09,724,Aqua,MODIS,53,6.1NRT,294.15,37.94,D,
-3.00356,104.58395,308.76,1.08,1.04,2023/08/10,1459,Terra,MODIS,75,6.1NRT,294.33,7.52,N,
-3.0579,105.29704,311.46,4.11,1.88,2023/08/12,614,Aqua,MODIS,61,6.1NRT,294.67,48.43,D,
-3.08917,105.05257,310.48,1.86,1.33,2023/08/12,1444,Terra,MODIS,80,6.1NRT,292.96,21.89,N,
-2.95501,105.49747,314.45,1.2,1.09,2023/08/15,249,Terra,MODIS,25,6.1NRT,297.61,9.18,D,
-3.093,105.12683,317.73,2.66,1.57,2023/08/16,330,Terra,MODIS,73,6.1NRT,288.87,48.86,D,
-3.16539,104.70593,316.6,2.56,1.54,2023/08/17,627,Aqua,MODIS,62,6.1NRT,294.64,27.84,D,
-3.06863,105.39246,308.98,1.34,1.15,2023/08/18,315,Terra,MODIS,36,6.1NRT,290.96,8.26,D,
-2.89263,105.4458,315.98,1.01,1.01,2023/08/20,258,Terra,MODIS,30,6.1NRT,298.48,7.91,D,
-3.15546,104.85974,318.12,1,1,2023/08/20,654,Aqua,MODIS,37,6.1NRT,299.86,6.91,D,
-3.10615,105.14558,328.82,1.36,1.15,2023/08/22,640,Aqua,MODIS,78,6.1NRT,290.01,36.11,D,
-3.09761,105.13208,353.7,1.36,1.15,2023/08/22,640,Aqua,MODIS,84,6.1NRT,290.03,103.41,D,
-3.13244,104.17815,314.17,1.59,1.24,2023/08/22,640,Aqua,MODIS,61,6.1NRT,294.37,14.32,D,
-3.15084,104.71941,312.51,1.24,1.11,2023/08/25,707,Aqua,MODIS,52,6.1NRT,287.42,6.57,D,
-3.0978,105.05753,315.79,1.01,1,2023/08/27,652,Aqua,MODIS,51,6.1NRT,297.05,7.02,D,
