,batch_size,epochs,model__activation,model__dropout_rate,model__optimizer,score
191,8,1500,selu,0.15,sgd,-0.19914373977057176
35,2,1500,selu,0.2,sgd,-0.19962947902698233
111,4,1500,selu,0.15,sgd,-0.19969144176541428
107,4,1500,selu,0.1,sgd,-0.1999521578194318
27,2,1500,selu,0.1,sgd,-0.2011749100946046
195,8,1500,selu,0.2,sgd,-0.20163305199012893
119,4,1500,selu,0.25,sgd,-0.20211990416450443
199,8,1500,selu,0.25,sgd,-0.20242496122295822
341,32,1500,selu,0.05,adamax,-0.20258854280152067
39,2,1500,selu,0.25,sgd,-0.20288083192588263
115,4,1500,selu,0.2,sgd,-0.20294956273689935
181,8,1500,selu,0.05,adamax,-0.20298759242904008
55,2,1500,elu,0.2,sgd,-0.20340041719973806
372,32,1500,elu,0.2,adam,-0.20449678583120126
261,16,1500,selu,0.05,adamax,-0.2046451020421136
281,16,1500,elu,0.05,adamax,-0.20490543444523926
103,4,1500,selu,0.05,sgd,-0.2050312018772802
362,32,1500,elu,0.05,rmsprop,-0.20509978895931813
141,4,1500,softplus,0.05,adamax,-0.2052204553515508
340,32,1500,selu,0.05,adam,-0.2054835740739248
59,2,1500,elu,0.25,sgd,-0.20549374011111737
236,8,1500,softplus,0.25,adam,-0.2056687510300279
31,2,1500,selu,0.15,sgd,-0.20589616969143465
274,16,1500,selu,0.2,rmsprop,-0.20603196949488645
361,32,1500,elu,0.05,adamax,-0.20608226600312657
213,8,1500,elu,0.2,adamax,-0.20608245919358215
360,32,1500,elu,0.05,adam,-0.2060934099446173
183,8,1500,selu,0.05,sgd,-0.20620072367201542
376,32,1500,elu,0.25,adam,-0.2062119715443546
197,8,1500,selu,0.25,adamax,-0.20629263087093141
348,32,1500,selu,0.15,adam,-0.20634615743475715
370,32,1500,elu,0.15,rmsprop,-0.20648955665161267
265,16,1500,selu,0.1,adamax,-0.2065081949461569
352,32,1500,selu,0.2,adam,-0.20653641933743827
43,2,1500,elu,0.05,sgd,-0.20660948664016543
345,32,1500,selu,0.1,adamax,-0.2068579216530564
349,32,1500,selu,0.15,adamax,-0.20689352306187186
217,8,1500,elu,0.25,adamax,-0.20692289695498484
185,8,1500,selu,0.1,adamax,-0.2069299886790068
296,16,1500,elu,0.25,adam,-0.20700003291534386
187,8,1500,selu,0.1,sgd,-0.20700473108391163
282,16,1500,elu,0.05,rmsprop,-0.20706222559768073
353,32,1500,selu,0.2,adamax,-0.20710247277016297
201,8,1500,elu,0.05,adamax,-0.20744053857226705
23,2,1500,selu,0.05,sgd,-0.20756862843863777
280,16,1500,elu,0.05,adam,-0.20758510178020287
90,4,1500,relu,0.15,rmsprop,-0.2076722270466162
138,4,1500,elu,0.25,rmsprop,-0.20771150713058817
366,32,1500,elu,0.1,rmsprop,-0.20771807948905563
218,8,1500,elu,0.25,rmsprop,-0.207752369024176
290,16,1500,elu,0.15,rmsprop,-0.20782404568892077
284,16,1500,elu,0.1,adam,-0.20787112354929727
292,16,1500,elu,0.2,adam,-0.20791744011774566
286,16,1500,elu,0.1,rmsprop,-0.2079775942646293
338,32,1500,relu,0.25,rmsprop,-0.2079834572829573
258,16,1500,relu,0.25,rmsprop,-0.2080368528653428
210,8,1500,elu,0.15,rmsprop,-0.20817790850496853
298,16,1500,elu,0.25,rmsprop,-0.20825163844973696
148,4,1500,softplus,0.15,adam,-0.20838238751617402
129,4,1500,elu,0.15,adamax,-0.20838759898016274
209,8,1500,elu,0.15,adamax,-0.20847856129771236
125,4,1500,elu,0.1,adamax,-0.2085005601180448
216,8,1500,elu,0.25,adam,-0.20853951153354333
288,16,1500,elu,0.15,adam,-0.20856305348775
368,32,1500,elu,0.15,adam,-0.2086678219509333
121,4,1500,elu,0.05,adamax,-0.20867583610339252
374,32,1500,elu,0.2,rmsprop,-0.20883294613558384
364,32,1500,elu,0.1,adam,-0.20885086885100224
294,16,1500,elu,0.2,rmsprop,-0.20887751465890753
205,8,1500,elu,0.1,adamax,-0.20892759549622825
57,2,1500,elu,0.25,adamax,-0.20905583174099407
262,16,1500,selu,0.05,rmsprop,-0.2090719912029867
346,32,1500,selu,0.1,rmsprop,-0.20911260473868093
93,4,1500,relu,0.2,adamax,-0.2091390904944277
297,16,1500,elu,0.25,adamax,-0.20914033377364602
214,8,1500,elu,0.2,rmsprop,-0.20922346077066664
285,16,1500,elu,0.1,adamax,-0.20922442245823528
202,8,1500,elu,0.05,rmsprop,-0.20930763159426188
222,8,1500,softplus,0.05,rmsprop,-0.20935033157425004
206,8,1500,elu,0.1,rmsprop,-0.20942169122996637
273,16,1500,selu,0.2,adamax,-0.2095369469737379
130,4,1500,elu,0.15,rmsprop,-0.2097716896314925
358,32,1500,selu,0.25,rmsprop,-0.20981211269234218
357,32,1500,selu,0.25,adamax,-0.2098227506898763
126,4,1500,elu,0.1,rmsprop,-0.20982809496775723
137,4,1500,elu,0.25,adamax,-0.21001606205179899
378,32,1500,elu,0.25,rmsprop,-0.21002957263690114
51,2,1500,elu,0.15,sgd,-0.21006487979646132
94,4,1500,relu,0.2,rmsprop,-0.21013924960263927
47,2,1500,elu,0.1,sgd,-0.2101405232729989
250,16,1500,relu,0.15,rmsprop,-0.21041408301009779
49,2,1500,elu,0.15,adamax,-0.21044575581175606
133,4,1500,elu,0.2,adamax,-0.2104807452411916
342,32,1500,selu,0.05,rmsprop,-0.21058597654008993
350,32,1500,selu,0.15,rmsprop,-0.210715123129041
41,2,1500,elu,0.05,adamax,-0.21074015902813448
330,32,1500,relu,0.15,rmsprop,-0.21075684202918069
365,32,1500,elu,0.1,adamax,-0.2107711543968755
134,4,1500,elu,0.2,rmsprop,-0.21097915833522618
308,16,1500,softplus,0.15,adam,-0.21103132135212818
142,4,1500,softplus,0.05,rmsprop,-0.21114037946932307
224,8,1500,softplus,0.1,adam,-0.2112429328328957
53,2,1500,elu,0.2,adamax,-0.2112515049918469
46,2,1500,elu,0.1,rmsprop,-0.21154844257488598
271,16,1500,selu,0.15,sgd,-0.21165154028155497
50,2,1500,elu,0.15,rmsprop,-0.21169345914950388
204,8,1500,elu,0.1,adam,-0.2117236447002066
45,2,1500,elu,0.1,adamax,-0.21175962792572908
334,32,1500,relu,0.2,rmsprop,-0.2117881517408177
257,16,1500,relu,0.25,adamax,-0.21180581600210827
42,2,1500,elu,0.05,rmsprop,-0.21184130183248107
122,4,1500,elu,0.05,rmsprop,-0.21185574621602915
369,32,1500,elu,0.15,adamax,-0.21191340984641224
221,8,1500,softplus,0.05,adamax,-0.21193659505702267
388,32,1500,softplus,0.15,adam,-0.21216230327440272
146,4,1500,softplus,0.1,rmsprop,-0.21226560121623728
269,16,1500,selu,0.15,adamax,-0.21239218536840326
278,16,1500,selu,0.25,rmsprop,-0.21249822571358734
13,2,1500,relu,0.2,adamax,-0.21252500129931237
289,16,1500,elu,0.15,adamax,-0.2128142402307279
58,2,1500,elu,0.25,rmsprop,-0.21282604225920604
174,8,1500,relu,0.2,rmsprop,-0.21295367666413106
54,2,1500,elu,0.2,rmsprop,-0.2129779577366575
354,32,1500,selu,0.2,rmsprop,-0.21349620870977185
309,16,1500,softplus,0.15,adamax,-0.21350247102398162
384,32,1500,softplus,0.1,adam,-0.2135334994943181
170,8,1500,relu,0.15,rmsprop,-0.21354689889126405
373,32,1500,elu,0.2,adamax,-0.2139814018810331
9,2,1500,relu,0.15,adamax,-0.21413536291787602
124,4,1500,elu,0.1,adam,-0.21420891361777605
300,16,1500,softplus,0.05,adam,-0.2146177423097571
228,8,1500,softplus,0.15,adam,-0.21469815526605288
85,4,1500,relu,0.1,adamax,-0.21491673170114717
293,16,1500,elu,0.2,adamax,-0.21494685520582188
17,2,1500,relu,0.25,adamax,-0.21497246177309992
277,16,1500,selu,0.25,adamax,-0.21546928730375361
132,4,1500,elu,0.2,adam,-0.21556408812022027
212,8,1500,elu,0.2,adam,-0.2156212802606356
109,4,1500,selu,0.15,adamax,-0.2160819434301319
263,16,1500,selu,0.05,sgd,-0.2161677269299658
266,16,1500,selu,0.1,rmsprop,-0.21637124021839527
62,2,1500,softplus,0.05,rmsprop,-0.21640339181305684
97,4,1500,relu,0.25,adamax,-0.2164324703365781
275,16,1500,selu,0.2,sgd,-0.2168040004469876
377,32,1500,elu,0.25,adamax,-0.21747053984930526
267,16,1500,selu,0.1,sgd,-0.21765154672586895
128,4,1500,elu,0.15,adam,-0.21779451064098115
302,16,1500,softplus,0.05,rmsprop,-0.21791290170054967
120,4,1500,elu,0.05,adam,-0.21799502851115726
233,8,1500,softplus,0.2,adamax,-0.21805686961346749
166,8,1500,relu,0.1,rmsprop,-0.218241414361812
260,16,1500,selu,0.05,adam,-0.21826773143185868
270,16,1500,selu,0.15,rmsprop,-0.21837846936081073
208,8,1500,elu,0.15,adam,-0.2184162932123086
190,8,1500,selu,0.15,rmsprop,-0.21846647947088368
380,32,1500,softplus,0.05,adam,-0.21853826098319123
165,8,1500,relu,0.1,adamax,-0.21866408318818478
344,32,1500,selu,0.1,adam,-0.21868997072495883
