,batch_size,epochs,model__activation,model__dropout_rate,model__optimizer,score
107,4,1500,selu,0.1,sgd,-0.19736580542166776
119,4,1500,selu,0.25,sgd,-0.1985726198487542
115,4,1500,selu,0.2,sgd,-0.1989440281942081
195,8,1500,selu,0.2,sgd,-0.19914142912947805
111,4,1500,selu,0.15,sgd,-0.1994233744987403
31,2,1500,selu,0.15,sgd,-0.20170520681268592
199,8,1500,selu,0.25,sgd,-0.20223287272680118
103,4,1500,selu,0.05,sgd,-0.20253482679953888
341,32,1500,selu,0.05,adamax,-0.20273626708040404
39,2,1500,selu,0.25,sgd,-0.20320103461075856
345,32,1500,selu,0.1,adamax,-0.20364013956806964
35,2,1500,selu,0.2,sgd,-0.20366793432919894
349,32,1500,selu,0.15,adamax,-0.20407867672928953
55,2,1500,elu,0.2,sgd,-0.2041541129904928
174,8,1500,relu,0.2,rmsprop,-0.20487999220341807
376,32,1500,elu,0.25,adam,-0.20512851045722796
191,8,1500,selu,0.15,sgd,-0.20513076063361804
356,32,1500,selu,0.25,adam,-0.2051596027981391
51,2,1500,elu,0.15,sgd,-0.2053157988149666
93,4,1500,relu,0.2,adamax,-0.20538994311528674
43,2,1500,elu,0.05,sgd,-0.20569067829169782
23,2,1500,selu,0.05,sgd,-0.2057778926542564
344,32,1500,selu,0.1,adam,-0.2057919524473827
89,4,1500,relu,0.15,adamax,-0.20584983852686015
372,32,1500,elu,0.2,adam,-0.20585093006558564
217,8,1500,elu,0.25,adamax,-0.20592700272536443
374,32,1500,elu,0.2,rmsprop,-0.2060063838957047
366,32,1500,elu,0.1,rmsprop,-0.20628134632603462
218,8,1500,elu,0.25,rmsprop,-0.20630593390584834
342,32,1500,selu,0.05,rmsprop,-0.20636264887840003
360,32,1500,elu,0.05,adam,-0.20665215270184653
281,16,1500,elu,0.05,adamax,-0.20680417901138082
213,8,1500,elu,0.2,adamax,-0.2068854824359147
201,8,1500,elu,0.05,adamax,-0.20688822314258543
47,2,1500,elu,0.1,sgd,-0.20689534373519322
27,2,1500,selu,0.1,sgd,-0.2069070511759913
270,16,1500,selu,0.15,rmsprop,-0.20695062940888265
361,32,1500,elu,0.05,adamax,-0.20700204259802474
97,4,1500,relu,0.25,adamax,-0.20736499157652688
294,16,1500,elu,0.2,rmsprop,-0.20747507222056147
280,16,1500,elu,0.05,adam,-0.20750416442569888
148,4,1500,softplus,0.15,adam,-0.20764062405989941
353,32,1500,selu,0.2,adamax,-0.20789690318032383
90,4,1500,relu,0.15,rmsprop,-0.20792843580301978
368,32,1500,elu,0.15,adam,-0.20795830402880983
