batch_size,epochs,model__activation,model__dropout_rate,model__optimizer,score
2,1500,selu,0.25,sgd,-0.19028035692795045
16,1500,selu,0.05,adamax,-0.1923139330300193
8,1500,selu,0.1,adamax,-0.1928332428868867
8,1500,elu,0.15,adamax,-0.19303279230727588
2,1500,selu,0.15,sgd,-0.19313921390893574
4,1500,selu,0.2,sgd,-0.1934588963974389
8,1500,elu,0.2,adamax,-0.1938562536252558
4,1500,selu,0.1,sgd,-0.19400448347882368
8,1500,elu,0.25,adamax,-0.19415976684400674
8,1500,elu,0.1,adamax,-0.19420108183354856
2,1500,selu,0.05,sgd,-0.19452196503898084
32,1500,selu,0.05,adamax,-0.19456552621243908
8,1500,elu,0.05,adamax,-0.19535961327964835
16,1500,elu,0.15,adamax,-0.1956030289316795
32,1500,elu,0.25,rmsprop,-0.1959753570804408
32,1500,elu,0.15,rmsprop,-0.19636074819671837
16,1500,elu,0.05,adamax,-0.19641893417354805
32,1500,elu,0.1,adamax,-0.19642533543625548
32,1500,elu,0.1,adam,-0.19681571644677176
16,1500,selu,0.2,sgd,-0.19692167815370734
32,1500,elu,0.15,adam,-0.19692496161837225
8,1500,selu,0.2,sgd,-0.19744513445630124
2,1500,selu,0.1,sgd,-0.19748148397203838
4,1500,selu,0.25,sgd,-0.1975237859315383
4,1500,elu,0.2,adamax,-0.19768090051884762
4,1500,selu,0.05,sgd,-0.19776488604363068
2,1500,elu,0.2,sgd,-0.1978632840024693
8,1500,selu,0.05,sgd,-0.1978816804959878
16,1500,elu,0.1,adamax,-0.19819790146941382
16,1500,elu,0.25,adamax,-0.1982861820739488
32,1500,selu,0.25,adamax,-0.1983610831235451
32,1500,elu,0.05,adamax,-0.19850354525410413
2,1500,elu,0.25,sgd,-0.1987848588479352
16,1500,elu,0.2,adamax,-0.1988391240717159
8,1500,selu,0.25,adamax,-0.19885691164697028
8,1500,elu,0.05,sgd,-0.19893211821080803
4,1500,selu,0.15,sgd,-0.19893619941925428
32,1500,elu,0.05,rmsprop,-0.1989741710000995
2,1500,selu,0.2,sgd,-0.1991179463910145
32,1500,elu,0.2,adamax,-0.19916084504462
2,1500,elu,0.15,sgd,-0.199297845242386
4,1500,elu,0.1,sgd,-0.1995310167884556
16,1500,selu,0.15,sgd,-0.19981377656275465
4,1500,relu,0.15,sgd,-0.19989073984813022
32,1500,elu,0.1,rmsprop,-0.19993286011692613
32,1500,elu,0.15,adamax,-0.20003551810832032
8,1500,selu,0.15,sgd,-0.200173917760142
32,1500,elu,0.25,adamax,-0.20041255999772045
32,1500,selu,0.2,adamax,-0.2004145104589502
2,1500,elu,0.05,sgd,-0.20056733745216387
4,1500,relu,0.2,sgd,-0.20073094207837805
16,1500,selu,0.1,sgd,-0.20091023231648664
4,1500,elu,0.25,sgd,-0.2009682804554827
32,1500,selu,0.15,adamax,-0.20096881008734518
8,1500,elu,0.1,sgd,-0.2014398865050056
4,1500,elu,0.15,sgd,-0.20185329498658003
8,1500,selu,0.05,adamax,-0.201966408014504
4,1500,relu,0.1,sgd,-0.20213838321155767
2,1500,elu,0.1,sgd,-0.2025162304274466
8,1500,selu,0.1,sgd,-0.20266531945831454
16,1500,selu,0.05,sgd,-0.20270697430990497
4,1500,elu,0.05,sgd,-0.202886946055428
8,1500,selu,0.25,sgd,-0.20319602716780152
2,1500,softplus,0.05,adamax,-0.20321386927800078
8,1500,elu,0.25,sgd,-0.20339021891563605
4,1500,elu,0.2,sgd,-0.20365654375853373
16,1500,selu,0.1,adamax,-0.20453074616957337
16,1500,selu,0.25,sgd,-0.2049898193527816
32,1500,elu,0.2,adam,-0.20515753732152972
8,1500,elu,0.2,sgd,-0.2055773406882203
32,1500,relu,0.05,adamax,-0.20601506923398105
8,1500,softplus,0.15,adamax,-0.20624679588750744
4,1500,relu,0.05,adam,-0.20649472689412518
8,1500,elu,0.15,sgd,-0.20655317034204196
32,1500,elu,0.2,rmsprop,-0.20672409481609097
16,1500,elu,0.2,rmsprop,-0.2076949186776999
32,1500,selu,0.1,adamax,-0.2078667041193486
4,1500,relu,0.05,sgd,-0.20814869141411674
16,1500,elu,0.2,sgd,-0.20845329878929247
32,1500,elu,0.25,adam,-0.208678535589149
32,1500,softplus,0.05,adam,-0.2087544273612696
32,1500,selu,0.1,sgd,-0.20985259668513262
2,1500,softplus,0.05,rmsprop,-0.20998191253776538
32,1500,softplus,0.15,adam,-0.2099887353216066
32,1500,selu,0.25,sgd,-0.21030489129233892
8,1500,softplus,0.05,adamax,-0.21094755507747123
32,1500,selu,0.15,sgd,-0.21115425836782098
32,1500,selu,0.1,rmsprop,-0.211235006080398
16,1500,elu,0.15,rmsprop,-0.21132260494392202
32,1500,selu,0.2,sgd,-0.21203382527362985
32,1500,softplus,0.1,adam,-0.21349100406766813
8,1500,relu,0.05,sgd,-0.21386810907046663
32,1500,selu,0.05,sgd,-0.21386927974661352
2,1500,relu,0.15,adam,-0.2138946062566322
4,1500,softplus,0.05,adamax,-0.2141431274494994
16,1500,softplus,0.05,adamax,-0.21419485341249095
32,1500,softplus,0.2,adam,-0.21425226636792744
4,1500,elu,0.25,adamax,-0.21468008318757786
16,1500,elu,0.1,sgd,-0.21523654876716908
2,1500,softplus,0.1,adamax,-0.21559275765867753
32,1500,softplus,0.05,rmsprop,-0.21579601642797566
4,1500,softplus,0.05,rmsprop,-0.2164850040476047
16,1500,softplus,0.05,rmsprop,-0.2167189235826934
16,1500,elu,0.15,sgd,-0.21699588380075613
16,1500,elu,0.05,sgd,-0.21793452185688328
4,1500,relu,0.05,rmsprop,-0.218210891877824
8,1500,selu,0.2,adamax,-0.21880969350398405
2,1500,relu,0.2,sgd,-0.2190837643955627
16,1500,elu,0.25,sgd,-0.21909635976868622
16,1500,selu,0.2,adamax,-0.21912157332441493
8,1500,relu,0.25,rmsprop,-0.2193850245452763
8,1500,relu,0.15,sgd,-0.2194263378896542
2,1500,relu,0.2,adam,-0.21961389038823068
32,1500,softplus,0.05,adamax,-0.2198595156833023
8,1500,relu,0.1,sgd,-0.2198620114419936
2,1500,relu,0.05,sgd,-0.22008073327054556
2,1500,softplus,0.1,adam,-0.22052274572399722
8,1500,softplus,0.1,adamax,-0.2205827716908415
4,1500,softplus,0.1,rmsprop,-0.22103002920826992
4,1500,relu,0.25,sgd,-0.22113716144591614
16,1500,softplus,0.1,adamax,-0.221595748392159
32,1500,softplus,0.1,rmsprop,-0.2221559609639322
4,1500,relu,0.1,rmsprop,-0.22224956789287317
2,1500,softplus,0.2,rmsprop,-0.2222774027876447
2,1500,softplus,0.15,rmsprop,-0.2224883445535135
4,1500,relu,0.2,rmsprop,-0.2225764860146041
32,1500,elu,0.05,adam,-0.22262586385465022
