,batch_size,epochs,model__activation,model__dropout_rate,model__optimizer,score
119,4,1500,selu,0.25,sgd,-0.19805953706889362
111,4,1500,selu,0.15,sgd,-0.19895385580163488
195,8,1500,selu,0.2,sgd,-0.1989635329986728
172,8,1500,relu,0.2,adam,-0.1989852996762954
199,8,1500,selu,0.25,sgd,-0.1995032732828465
107,4,1500,selu,0.1,sgd,-0.199958742073652
115,4,1500,selu,0.2,sgd,-0.1999647855944821
27,2,1500,selu,0.1,sgd,-0.2002562017196468
35,2,1500,selu,0.2,sgd,-0.20167362669345823
39,2,1500,selu,0.25,sgd,-0.2018672027971647
341,32,1500,selu,0.05,adamax,-0.20255548933393017
191,8,1500,selu,0.15,sgd,-0.20316870238023804
23,2,1500,selu,0.05,sgd,-0.2037619936270001
47,2,1500,elu,0.1,sgd,-0.2038381247541084
31,2,1500,selu,0.15,sgd,-0.20427526371811
265,16,1500,selu,0.1,adamax,-0.20467931499403902
356,32,1500,selu,0.25,adam,-0.20483787832337197
281,16,1500,elu,0.05,adamax,-0.20486086417485364
376,32,1500,elu,0.25,adam,-0.20497648813631125
349,32,1500,selu,0.15,adamax,-0.2053680517875684
103,4,1500,selu,0.05,sgd,-0.20547663985335218
181,8,1500,selu,0.05,adamax,-0.20559662791630248
183,8,1500,selu,0.05,sgd,-0.2056811561047608
348,32,1500,selu,0.15,adam,-0.20580269945528779
340,32,1500,selu,0.05,adam,-0.2058130982462368
372,32,1500,elu,0.2,adam,-0.2059014208136961
55,2,1500,elu,0.2,sgd,-0.20592734747001618
217,8,1500,elu,0.25,adamax,-0.20614477928822508
254,16,1500,relu,0.2,rmsprop,-0.20623673710252188
261,16,1500,selu,0.05,adamax,-0.20626036239325413
43,2,1500,elu,0.05,sgd,-0.2065427743883278
345,32,1500,selu,0.1,adamax,-0.20656503683757257
361,32,1500,elu,0.05,adamax,-0.20665516421657099
201,8,1500,elu,0.05,adamax,-0.20668640186543497
210,8,1500,elu,0.15,rmsprop,-0.2067754668483707
368,32,1500,elu,0.15,adam,-0.2069137743264834
145,4,1500,softplus,0.1,adamax,-0.2069389661242469
292,16,1500,elu,0.2,adam,-0.2071203683816829
378,32,1500,elu,0.25,rmsprop,-0.20714488876914347
353,32,1500,selu,0.2,adamax,-0.20717884316614454
362,32,1500,elu,0.05,rmsprop,-0.2073266102173349
342,32,1500,selu,0.05,rmsprop,-0.2074342022405437
290,16,1500,elu,0.15,rmsprop,-0.20758852577927245
187,8,1500,selu,0.1,sgd,-0.20759904582649252
360,32,1500,elu,0.05,adam,-0.20759939290183477
284,16,1500,elu,0.1,adam,-0.20774868645023417
60,2,1500,softplus,0.05,adam,-0.20778043020300327
170,8,1500,relu,0.15,rmsprop,-0.2078762446624689
282,16,1500,elu,0.05,rmsprop,-0.20793757342736444
286,16,1500,elu,0.1,rmsprop,-0.20798395004635586
177,8,1500,relu,0.25,adamax,-0.2080080314986372
213,8,1500,elu,0.2,adamax,-0.208055304496095
298,16,1500,elu,0.25,rmsprop,-0.2080670007604642
354,32,1500,selu,0.2,rmsprop,-0.2080872358985894
97,4,1500,relu,0.25,adamax,-0.20820729112293196
280,16,1500,elu,0.05,adam,-0.20829877845965672
209,8,1500,elu,0.15,adamax,-0.2083194794531456
366,32,1500,elu,0.1,rmsprop,-0.20843918550172866
370,32,1500,elu,0.15,rmsprop,-0.20844323650668656
202,8,1500,elu,0.05,rmsprop,-0.2084929948508455
294,16,1500,elu,0.2,rmsprop,-0.20854699489576628
214,8,1500,elu,0.2,rmsprop,-0.2086324923906082
269,16,1500,selu,0.15,adamax,-0.2086417596878767
205,8,1500,elu,0.1,adamax,-0.20866101791925434
141,4,1500,softplus,0.05,adamax,-0.2087149351603879
129,4,1500,elu,0.15,adamax,-0.20881199940337397
133,4,1500,elu,0.2,adamax,-0.20886934307030147
59,2,1500,elu,0.25,sgd,-0.20890400710501897
94,4,1500,relu,0.2,rmsprop,-0.2089806212633069
218,8,1500,elu,0.25,rmsprop,-0.20898884312642974
285,16,1500,elu,0.1,adamax,-0.2090050018544975
296,16,1500,elu,0.25,adam,-0.20901277630001097
17,2,1500,relu,0.25,adamax,-0.20903495473556644
200,8,1500,elu,0.05,adam,-0.2090509057482023
365,32,1500,elu,0.1,adamax,-0.20908479801694924
125,4,1500,elu,0.1,adamax,-0.2091011596767317
51,2,1500,elu,0.15,sgd,-0.20910471540376765
297,16,1500,elu,0.25,adamax,-0.20932673132464116
364,32,1500,elu,0.1,adam,-0.2093498689021946
266,16,1500,selu,0.1,rmsprop,-0.2094493375636468
126,4,1500,elu,0.1,rmsprop,-0.20945107782029035
206,8,1500,elu,0.1,rmsprop,-0.20949061905684627
338,32,1500,relu,0.25,rmsprop,-0.20950320182319238
374,32,1500,elu,0.2,rmsprop,-0.20956635634911192
346,32,1500,selu,0.1,rmsprop,-0.20961344969886014
204,8,1500,elu,0.1,adam,-0.20961791073166935
121,4,1500,elu,0.05,adamax,-0.20966554285568295
288,16,1500,elu,0.15,adam,-0.20969821262490165
41,2,1500,elu,0.05,adamax,-0.20970342487726407
137,4,1500,elu,0.25,adamax,-0.20973178408968518
130,4,1500,elu,0.15,rmsprop,-0.20994422549309896
212,8,1500,elu,0.2,adam,-0.20998531622657599
344,32,1500,selu,0.1,adam,-0.21005668565271846
138,4,1500,elu,0.25,rmsprop,-0.21009968529526188
49,2,1500,elu,0.15,adamax,-0.21029921407247343
46,2,1500,elu,0.1,rmsprop,-0.21035582844311543
85,4,1500,relu,0.1,adamax,-0.21037879661619774
57,2,1500,elu,0.25,adamax,-0.21042731600428377
216,8,1500,elu,0.25,adam,-0.2104969064869379
122,4,1500,elu,0.05,rmsprop,-0.2105906421171136
228,8,1500,softplus,0.15,adam,-0.21066180435551138
50,2,1500,elu,0.15,rmsprop,-0.21084712539072423
53,2,1500,elu,0.2,adamax,-0.21096625863638446
358,32,1500,selu,0.25,rmsprop,-0.2110617807778693
13,2,1500,relu,0.2,adamax,-0.21108072629966085
330,32,1500,relu,0.15,rmsprop,-0.21113319162671595
45,2,1500,elu,0.1,adamax,-0.21115225472885163
208,8,1500,elu,0.15,adam,-0.21117005436954284
185,8,1500,selu,0.1,adamax,-0.21132978612668446
229,8,1500,softplus,0.15,adamax,-0.21138651926466887
62,2,1500,softplus,0.05,rmsprop,-0.21141133429755601
273,16,1500,selu,0.2,adamax,-0.21161840049750585
42,2,1500,elu,0.05,rmsprop,-0.2116564672446461
312,16,1500,softplus,0.2,adam,-0.21169173953081055
134,4,1500,elu,0.2,rmsprop,-0.21185078229069787
357,32,1500,selu,0.25,adamax,-0.21189075108058186
222,8,1500,softplus,0.05,rmsprop,-0.2120566175662067
220,8,1500,softplus,0.05,adam,-0.21212066877466734
369,32,1500,elu,0.15,adamax,-0.2122078354262635
384,32,1500,softplus,0.1,adam,-0.21237578087449863
388,32,1500,softplus,0.15,adam,-0.21242163022682706
86,4,1500,relu,0.1,rmsprop,-0.2128544339298168
350,32,1500,selu,0.15,rmsprop,-0.2131212416672062
289,16,1500,elu,0.15,adamax,-0.21313071954417245
5,2,1500,relu,0.1,adamax,-0.21315450520279322
36,2,1500,selu,0.25,adam,-0.21316130375948214
166,8,1500,relu,0.1,rmsprop,-0.21333517360957277
54,2,1500,elu,0.2,rmsprop,-0.21347203568013623
142,4,1500,softplus,0.05,rmsprop,-0.21389227854947165
373,32,1500,elu,0.2,adamax,-0.21420895562207867
174,8,1500,relu,0.2,rmsprop,-0.21431440998255663
293,16,1500,elu,0.2,adamax,-0.21442922667081804
221,8,1500,softplus,0.05,adamax,-0.2145784713627754
152,4,1500,softplus,0.2,adam,-0.21478612049940213
58,2,1500,elu,0.25,rmsprop,-0.2151000556858692
305,16,1500,softplus,0.1,adamax,-0.21545768228823747
267,16,1500,selu,0.1,sgd,-0.2155817358509009
