Date,Data Aktual,Data Prediksi
2019-02-28,8.0,23.0
2019-03-31,18.0,22.0
2019-04-30,21.0,26.0
2019-05-31,75.0,27.0
2019-06-30,44.0,49.0
2019-07-31,116.0,37.0
2019-08-31,817.0,69.0
2019-09-30,4223.0,537.0
2019-10-31,3976.0,1963.0
2019-11-30,1736.0,1913.0
2019-12-31,45.0,1087.0
2020-01-31,27.0,37.0
2020-02-29,24.0,30.0
2020-03-31,59.0,28.0
2020-04-30,60.0,43.0
2020-05-31,27.0,43.0
2020-06-30,24.0,30.0
2020-07-31,29.0,28.0
2020-08-31,65.0,30.0
2020-09-30,29.0,45.0
2020-10-31,40.0,30.0
2020-11-30,30.0,35.0
2020-12-31,8.0,31.0
2021-01-31,6.0,22.0
2021-02-28,6.0,21.0
2021-03-31,15.0,21.0
2021-04-30,62.0,25.0
2021-05-31,57.0,44.0
2021-06-30,62.0,42.0
2021-07-31,121.0,44.0
2021-08-31,94.0,72.0
2021-09-30,87.0,57.0
2021-10-31,51.0,54.0
2021-11-30,20.0,39.0
2021-12-31,23.0,27.0
2022-01-31,6.0,28.0
2022-02-28,12.0,21.0
2022-03-31,41.0,24.0
2022-04-30,14.0,35.0
2022-05-31,43.0,24.0
2022-06-30,30.0,36.0
2022-07-31,64.0,31.0
2022-08-31,82.0,45.0
2022-09-30,40.0,52.0
2022-10-31,15.0,35.0
2022-11-30,10.0,25.0
2022-12-31,11.0,23.0
2023-01-31,3.0,23.0
2023-02-28,11.0,20.0
2023-03-31,12.0,23.0
2023-04-30,35.0,24.0
2023-05-31,48.0,33.0
2023-06-30,50.0,38.0
2023-07-31,56.0,39.0
2023-08-31,186.0,41.0
2023-09-30,2247.0,118.0
2023-10-31,3200.0,1367.0
2023-11-30,390.0,1738.0
2023-12-31,42.0,257.0
